term_slug,term_name,category,difficulty,definition_short,definition_long,formula,example_scenario,related_terms,search_volume_monthly
variance-analysis,Variance Analysis,Analysis,Beginner,"Comparing actual financial results to budgeted or forecasted amounts","Variance analysis is the quantitative investigation of the difference between actual and planned behavior in finance. It involves calculating variances, identifying root causes, and taking corrective actions.","Variance = Actual - Budget (or Forecast)","A SaaS company budgeted $100K in revenue but achieved $115K. The favorable variance of $15K requires analysis to understand if it's sustainable.","budget, forecast, kpi, financial-planning",800
rolling-forecast,Rolling Forecast,Forecasting,Intermediate,"A continuously updated forecast that extends a fixed time period into the future","A rolling forecast is a management tool that continuously adds a new month or quarter to the forecast as one period ends, maintaining a constant forecast horizon. Unlike static annual budgets, rolling forecasts adapt to changing business conditions.","N/A - Process-based","A company maintains a 12-month rolling forecast. In January, they forecast Jan-Dec. In February, they drop January and add next January, always maintaining 12 months forward.","forecast, budget, financial-planning, scenario-planning",650
cash-conversion-cycle,Cash Conversion Cycle,Metrics,Intermediate,"The time it takes to convert investments in inventory back into cash","The cash conversion cycle (CCC) measures how long it takes a company to convert resource inputs into cash flows. It's a key metric for working capital efficiency and liquidity management.","CCC = DIO + DSO - DPO","A company has 30 days inventory, 45 days receivables, and 30 days payables. CCC = 30 + 45 - 30 = 45 days to convert investment to cash.","working-capital, days-sales-outstanding, days-inventory-outstanding",550
arr,ARR (Annual Recurring Revenue),Metrics,Beginner,"The annualized value of recurring revenue from subscriptions","ARR represents the normalized annual value of recurring revenue from subscriptions and contracts. It's a critical metric for SaaS and subscription businesses to measure predictable revenue streams.","ARR = MRR × 12 (or sum of all annual contracts)","A SaaS company has $50K MRR from monthly subscriptions and $200K in annual contracts. ARR = ($50K × 12) + $200K = $800K.","mrr, revenue, saas-metrics, recurring-revenue",1200
mrr,MRR (Monthly Recurring Revenue),Metrics,Beginner,"The normalized monthly revenue from subscriptions","MRR is the predictable revenue a business expects to receive every month from active subscriptions. It's fundamental for subscription business planning and growth tracking.","MRR = Sum of all monthly subscription revenue","A company has 100 customers paying $50/month and 20 paying $200/month. MRR = (100 × $50) + (20 × $200) = $9,000.","arr, revenue, saas-metrics, churn-rate",950
cac,CAC (Customer Acquisition Cost),Metrics,Beginner,"The total cost to acquire a new customer","CAC represents all sales and marketing costs required to acquire a new customer over a specific period. It's essential for understanding unit economics and marketing efficiency.","CAC = (Sales + Marketing Costs) ÷ New Customers Acquired","A company spent $100K on sales and marketing in Q1 and acquired 200 customers. CAC = $100K ÷ 200 = $500 per customer.","ltv, cac-ltv-ratio, unit-economics, marketing-efficiency",850
ltv,LTV (Lifetime Value),Metrics,Intermediate,"The total revenue expected from a customer over their entire relationship","Lifetime value represents the total net profit a business expects to earn from a customer throughout their relationship. It's critical for assessing customer profitability and acquisition economics.","LTV = ARPU × Gross Margin % ÷ Churn Rate","A customer pays $100/month, gross margin is 80%, churn is 5% monthly. LTV = $100 × 80% ÷ 5% = $1,600.","cac, cac-ltv-ratio, churn-rate, customer-profitability",720
burn-rate,Burn Rate,Metrics,Beginner,"The rate at which a company spends its cash reserves","Burn rate is the pace at which a company is spending its capital, typically measured monthly. It's crucial for runway calculation and cash management in startups and growth companies.","Monthly Burn Rate = (Starting Cash - Ending Cash) ÷ Months","A startup had $1M cash on Jan 1 and $700K on Apr 1. Burn rate = ($1M - $700K) ÷ 3 = $100K/month.","runway, cash-flow, working-capital, unit-economics",680
runway,Runway,Metrics,Beginner,"The time until a company runs out of cash at current burn rate","Runway represents how many months a company can continue operations before depleting its cash reserves, assuming no additional funding or revenue changes.","Runway (months) = Current Cash ÷ Monthly Burn Rate","A company has $600K cash and burns $50K/month. Runway = $600K ÷ $50K = 12 months.","burn-rate, cash-flow, fundraising, working-capital",580
ebitda,EBITDA,Metrics,Intermediate,"Earnings before interest, taxes, depreciation, and amortization","EBITDA is a measure of operating performance that excludes financing and accounting decisions. It's widely used for valuation and comparing companies across industries.","EBITDA = Net Income + Interest + Taxes + Depreciation + Amortization","A company has $500K net income, $50K interest, $100K taxes, $75K depreciation. EBITDA = $500K + $50K + $100K + $75K = $725K.","gross-margin, operating-margin, net-income, profitability",920
