industry_slug,industry_name,description,top_kpis,common_challenges,regulatory_notes,typical_client_size,funding_stages
saas,SaaS,Software-as-a-Service companies,"ARR, MRR, CAC, LTV, Net Revenue Retention","Burn rate management, Unit economics optimization, Customer churn, Pricing strategy","GDPR compliance, SOC 2 certification","$1M-$50M ARR","Pre-seed, Seed, Series A, Series B, Series C"
fintech,Fintech,Financial technology companies,"Transaction volume, Take rate, Customer acquisition cost, Compliance costs","Heavy regulatory burden, Capital requirements, Fraud prevention, Banking partnerships","SEC regulations, PCI DSS, State money transmitter licenses, CFPB oversight","$500K-$100M revenue","Seed, Series A, Series B, Series C"
healthcare,Healthcare,Healthcare and medical services companies,"Patient volume, Revenue per patient, Operating margin, Days in A/R","Insurance reimbursement complexity, HIPAA compliance, Staff costs, Regulatory changes","HIPAA, HITECH, FDA regulations, State licensing","$2M-$100M revenue","Seed, Series A, Series B, Growth"
e-commerce,E-Commerce,Direct-to-consumer and online retail,"GMV, Conversion rate, AOV, Customer LTV, ROAS","Inventory management, Shipping costs, Customer acquisition costs, Returns","FTC regulations, Sales tax nexus, International compliance","$1M-$50M revenue","Seed, Series A, Series B"
marketplace,Marketplace,Two-sided marketplace platforms,"GMV, Take rate, Buyer retention, Seller retention, Liquidity","Chicken-and-egg problem, Unit economics, Fraud prevention, Supply-demand balance","FTC regulations, Payment processing compliance, Industry-specific licensing","$500K-$100M GMV","Seed, Series A, Series B, Series C"
consumer-apps,Consumer Apps,Mobile and web consumer applications,"MAU, DAU, ARPU, Churn rate, Viral coefficient","User acquisition costs, Engagement, Monetization, App store fees","COPPA (if children), CCPA, GDPR, App store policies","$500K-$50M revenue","Pre-seed, Seed, Series A, Series B"
b2b-software,B2B Software,Enterprise software companies,"ARR, Net dollar retention, Sales efficiency, Magic number, Rule of 40","Long sales cycles, Implementation complexity, Customer support costs, Competitive market","SOC 2, GDPR, Industry-specific certifications","$2M-$100M ARR","Seed, Series A, Series B, Series C, Growth"
hardware,Hardware,Physical product companies,"Gross margin, Inventory turns, Product returns, Manufacturing costs","Supply chain complexity, High upfront costs, Inventory risk, Warranty costs","FCC, UL certifications, RoHS compliance, International standards","$5M-$100M revenue","Series A, Series B, Series C, Growth"
real-estate-tech,Real Estate Tech,Property technology companies,"Transaction volume, Commission rate, Properties listed, Platform GMV","Market cyclicality, Regulatory fragmentation, Broker relationships, Capital intensity","Real estate licensing, MLS agreements, State-specific regulations","$1M-$50M revenue","Seed, Series A, Series B"
edtech,EdTech,Educational technology companies,"Student enrollments, Course completion rates, Revenue per student, Retention","Content quality, Accreditation, Competition, Seasonality","FERPA, COPPA, State education regulations, Accreditation requirements","$500K-$50M revenue","Seed, Series A, Series B"
biotech,Biotech,Biotechnology and life sciences,"R&D spend, Clinical trial milestones, Patent portfolio, Burn rate","Long development cycles, Clinical trial costs, Regulatory approval, IP protection","FDA regulations, Clinical trial protocols, Patent law","$10M-$500M funding","Series A, Series B, Series C, IPO"
manufacturing,Manufacturing,Manufacturing and industrial companies,"Gross margin, Capacity utilization, Inventory turns, On-time delivery","Raw material costs, Supply chain, Labor costs, Quality control","OSHA, EPA regulations, Industry-specific certifications, ISO standards","$5M-$500M revenue","Mature, Growth, Private Equity"
food-beverage,Food & Beverage,Food and beverage companies,"Gross margin, Distribution channels, Retailer count, Velocity","Retail distribution, Food safety, Commodity costs, Shelf space competition","FDA, USDA, State health departments, Organic certifications","$1M-$100M revenue","Seed, Series A, Series B, Growth"
hospitality,Hospitality,Hotels, restaurants, and hospitality,"RevPAR, Occupancy rate, ADR, Same-store sales growth","Labor costs, Seasonality, Online reviews impact, Operational complexity","Health department, Liquor licenses, ADA compliance, Local zoning","$2M-$100M revenue","Seed, Series A, Private Equity"
logistics,Logistics,Transportation and logistics companies,"Revenue per mile, Utilization rate, On-time delivery, Operating ratio","Fuel costs, Driver shortage, Regulatory compliance, Asset management","DOT regulations, Hours of service, Insurance requirements","$5M-$500M revenue","Series A, Series B, Growth, Private Equity"
energy,Energy,Energy and utilities companies,"Production volume, Cost per unit, Capacity factor, EBITDA margin","Commodity price volatility, Regulatory environment, Capital intensity, Infrastructure costs","EPA, State utility commissions, FERC, Renewable energy credits","$10M-$1B revenue","Series B, Series C, Project Finance, IPO"
professional-services,Professional Services,Consulting and professional services,"Utilization rate, Realization rate, Revenue per employee, Client retention","Scalability, Talent retention, Project profitability, Business development","Professional licensing, E&O insurance, State-specific regulations","$1M-$50M revenue","Bootstrapped, Series A, Private Equity"
media-entertainment,Media & Entertainment,Media production and entertainment,"Subscriber growth, ARPU, Content costs, Engagement metrics","Content costs, Piracy, Competition, Platform dependencies","Copyright law, FCC regulations, Union rules, Content ratings","$2M-$500M revenue","Seed, Series A, Series B, Series C"
insurance,Insurance,Insurance and insurtech companies,"Loss ratio, Combined ratio, Premium growth, Policy retention","Claims management, Underwriting accuracy, Regulatory compliance, Capital requirements","State insurance departments, Actuarial requirements, Reserves","$5M-$500M premiums","Series A, Series B, Series C, IPO"
telecommunications,Telecommunications,Telecom and communications companies,"ARPU, Churn rate, Network costs, Subscriber growth","Infrastructure costs, Competition, Technology changes, Regulatory compliance","FCC regulations, Spectrum licensing, Net neutrality","$10M-$1B revenue","Series B, Series C, Private Equity, IPO"
automotive,Automotive,Automotive and mobility companies,"Unit sales, Gross margin per unit, Inventory turns, Dealer performance","Supply chain complexity, Warranty costs, Regulatory compliance, Technology changes","NHTSA, EPA emissions, State franchise laws","$10M-$1B revenue","Series A, Series B, Series C, IPO"
agriculture,Agriculture,Agricultural and agtech companies,"Yield per acre, Cost per unit, Gross margin, Working capital","Weather dependency, Commodity prices, Seasonality, Equipment costs","USDA, EPA, Organic certifications, State agriculture departments","$2M-$100M revenue","Seed, Series A, Series B, Private Equity"
construction,Construction,Construction and building companies,"Gross margin, Backlog, Project completion rate, Safety record","Labor costs, Material costs, Project delays, Weather, Liens","OSHA, State contractors licenses, Bonding requirements, Prevailing wage","$5M-$500M revenue","Mature, Private Equity, Public"
retail,Retail,Brick-and-mortar retail companies,"Same-store sales, Inventory turns, Gross margin, Foot traffic","E-commerce competition, Labor costs, Real estate costs, Inventory management","Sales tax, ADA compliance, Local zoning, Labor laws","$2M-$500M revenue","Mature, Series A, Private Equity"
nonprofit,Nonprofit,Nonprofit organizations,"Program expense ratio, Donor retention, Fundraising efficiency, Mission impact","Funding sustainability, Volunteer management, Reporting requirements, Mission alignment","501(c)(3) compliance, State charity registration, Grant restrictions, UBIT","$500K-$50M budget","Grant-funded, Donor-funded"
government-contractor,Government Contractor,Government contracting companies,"Win rate, Backlog, EBITDA margin, Contract renewals","Proposal costs, Compliance burden, Payment delays, Competition","FAR regulations, DCAA compliance, Security clearances, Cost accounting standards","$5M-$500M revenue","Series A, Private Equity, Public"
cannabis,Cannabis,Cannabis and hemp companies,"Revenue per sq ft, Inventory turns, Compliance costs, License count","Banking access, Tax burden (280E), Regulatory complexity, Market fragmentation","State licensing, Lab testing, Seed-to-sale tracking, Local zoning","$1M-$100M revenue","Self-funded, Series A, Debt financing"
sports,Sports & Fitness,Sports and fitness companies,"Membership revenue, Retention rate, Revenue per member, Class utilization","Member acquisition costs, Retention, Competition, Seasonality","Health department, Liability insurance, ADA compliance","$500K-$50M revenue","Seed, Series A, Franchise, Private Equity"
travel,Travel & Tourism,Travel and tourism companies,"Booking volume, Take rate, Customer LTV, Cancellation rate","Seasonality, Economic sensitivity, Supplier relationships, Competition","Travel agency licensing, Consumer protection laws, International regulations","$1M-$100M revenue","Seed, Series A, Series B"
gaming,Gaming,Video game and gaming companies,"MAU, ARPU, Retention, In-app purchase rate, Viral coefficient","User acquisition costs, Game development costs, Platform fees, Competition","ESRB ratings, Loot box regulations, Data privacy, Payment processing","$500K-$100M revenue","Seed, Series A, Series B, Series C"
fashion,Fashion & Apparel,Fashion and apparel companies,"Gross margin, Inventory turns, Sell-through rate, Return rate","Trend forecasting, Inventory risk, Returns, Manufacturing lead times","FTC labeling, Import regulations, Sustainability reporting","$1M-$100M revenue","Seed, Series A, Series B, Private Equity"
aerospace,Aerospace & Defense,Aerospace and defense companies,"Backlog, Program margin, R&D efficiency, Contract wins","Long development cycles, Government dependence, Regulatory compliance, Capital intensity","FAA, ITAR, Security clearances, Export controls","$10M-$1B revenue","Series B, Private Equity, Public, Government contracts"
chemicals,Chemicals,Chemical manufacturing companies,"Gross margin, Plant utilization, Inventory turns, Safety record","Raw material costs, Environmental regulations, Safety, Market cycles","EPA, OSHA, Hazmat regulations, ISO certifications","$10M-$1B revenue","Mature, Private Equity, Public"
pharmaceuticals,Pharmaceuticals,Pharmaceutical companies,"R&D ROI, Drug pipeline value, Patent expiration dates, Approval rate","FDA approval process, Clinical trial costs, Patent cliffs, Pricing pressure","FDA regulations, GMP, Clinical trial protocols, Patent law","$50M-$10B revenue","Series C, IPO, Public, M&A"
consumer-goods,Consumer Goods,Consumer packaged goods companies,"Gross margin, Market share, Distribution points, Velocity","Retail distribution, Brand competition, Commodity costs, Shelf space","FDA, FTC, State regulations, Product liability","$5M-$1B revenue","Series A, Series B, Private Equity, Strategic"
legal-services,Legal Services,Law firms and legal tech,"Utilization rate, Realization rate, Revenue per lawyer, Matter profitability","Talent retention, Client acquisition, Collections, Technology adoption","Bar association rules, Malpractice insurance, Client trust accounts","$1M-$100M revenue","Partnership, Series A, Private Equity"
financial-services,Financial Services,Financial services and wealth management,"AUM, Revenue per client, Client retention, Operating margin","Regulatory compliance, Client acquisition, Market volatility, Technology costs","SEC, FINRA, State securities, Fiduciary standards","$2M-$500M AUM","RIA, Series A, Series B, Consolidation"
cybersecurity,Cybersecurity,Cybersecurity and information security,"ARR, Net retention, Pipeline, Sales efficiency","Competitive market, Rapid technology changes, Talent shortage, Sales cycles","SOC 2, ISO 27001, FedRAMP, Export controls","$1M-$100M ARR","Seed, Series A, Series B, Series C"
artificial-intelligence,Artificial Intelligence,AI and machine learning companies,"ARR, Model accuracy, Compute costs, Customer retention","Data quality, Compute costs, Competitive landscape, Explainability","Data privacy, Bias regulations, Export controls, Industry-specific rules","$500K-$100M ARR","Seed, Series A, Series B, Series C"
crypto-blockchain,Crypto & Blockchain,Cryptocurrency and blockchain companies,"Transaction volume, Token value, Active wallets, Network fees","Regulatory uncertainty, Security risks, Market volatility, Adoption challenges","SEC guidance, FinCEN, OFAC, State money transmitter licenses","$1M-$100M revenue","Token sale, Series A, Series B"
